,node_number,drone_number,capacity_of_drones,arc_weight,result,type
224,100,5,480,15,-1,Not Cover
225,100,5,480,20,-1,Not Cover
226,100,5,480,25,-1,Not Cover
227,100,5,480,30,-1,Not Cover
228,100,5,540,5,-1,Not Cover
229,100,5,540,10,-1,Not Cover
230,100,5,540,15,-1,Not Cover
231,100,5,540,20,-1,Not Cover
232,100,5,540,25,-1,Not Cover
233,100,5,540,30,-1,Not Cover
234,100,5,600,5,-1,Not Cover
235,100,5,600,10,-1,Not Cover
236,100,5,600,15,-1,Not Cover
237,100,5,600,20,-1,Not Cover
238,100,5,600,25,-1,Not Cover
239,100,5,600,30,-1,Not Cover
240,100,6,180,5,-1,Not Cover
241,100,6,180,10,-1,Not Cover
242,100,6,180,15,-1,Not Cover
243,100,6,180,20,-1,Not Cover
244,100,6,180,25,-1,Not Cover
245,100,6,180,30,-1,Not Cover
246,100,6,240,5,-1,Not Cover
247,100,6,240,10,-1,Not Cover
248,100,6,240,15,-1,Not Cover
249,100,6,240,20,-1,Not Cover
250,100,6,240,25,-1,Not Cover
251,100,6,240,30,-1,Not Cover
252,100,6,300,5,-1,Not Cover
253,100,6,300,10,-1,Not Cover
254,100,6,300,15,-1,Not Cover
255,100,6,300,20,-1,Not Cover
256,100,6,300,25,-1,Not Cover
257,100,6,300,30,-1,Not Cover
258,100,6,360,5,-1,Not Cover
259,100,6,360,10,-1,Not Cover
260,100,6,360,15,-1,Not Cover
261,100,6,360,20,-1,Not Cover
262,100,6,360,25,-1,Not Cover
263,100,6,360,30,-1,Not Cover
264,100,6,420,5,-1,Not Cover
265,100,6,420,10,-1,Not Cover
266,100,6,420,15,-1,Not Cover
267,100,6,420,20,-1,Not Cover
268,100,6,420,25,-1,Not Cover
269,100,6,420,30,-1,Not Cover
270,100,6,480,5,-1,Not Cover
271,100,6,480,10,-1,Not Cover
272,100,6,480,15,-1,Not Cover
273,100,6,480,20,-1,Not Cover
274,100,6,480,25,-1,Not Cover
275,100,6,480,30,-1,Not Cover
276,100,6,540,5,-1,Not Cover
277,100,6,540,10,-1,Not Cover
278,100,6,540,15,-1,Not Cover
279,100,6,540,20,-1,Not Cover
280,100,6,540,25,-1,Not Cover
281,100,6,540,30,-1,Not Cover
282,100,6,600,5,-1,Not Cover
283,100,6,600,10,-1,Not Cover
284,100,6,600,15,-1,Not Cover
285,100,6,600,20,-1,Not Cover
286,100,6,600,25,-1,Not Cover
287,100,6,600,30,-1,Not Cover
288,100,7,180,5,-1,Not Cover
289,100,7,180,10,-1,Not Cover
290,100,7,180,15,-1,Not Cover
291,100,7,180,20,-1,Not Cover
292,100,7,180,25,-1,Not Cover
293,100,7,180,30,-1,Not Cover
294,100,7,240,5,-1,Not Cover
295,100,7,240,10,-1,Not Cover
296,100,7,240,15,-1,Not Cover
297,100,7,240,20,-1,Not Cover
298,100,7,240,25,-1,Not Cover
299,100,7,240,30,-1,Not Cover
300,100,7,300,5,-1,Not Cover
301,100,7,300,10,-1,Not Cover
302,100,7,300,15,-1,Not Cover
303,100,7,300,20,-1,Not Cover
304,100,7,300,25,-1,Not Cover
305,100,7,300,30,-1,Not Cover
306,100,7,360,5,-1,Not Cover
307,100,7,360,10,-1,Not Cover
308,100,7,360,15,-1,Not Cover
309,100,7,360,20,-1,Not Cover
310,100,7,360,25,-1,Not Cover
311,100,7,360,30,-1,Not Cover
312,100,7,420,5,-1,Not Cover
313,100,7,420,10,-1,Not Cover
314,100,7,420,15,-1,Not Cover
315,100,7,420,20,-1,Not Cover
316,100,7,420,25,-1,Not Cover
317,100,7,420,30,-1,Not Cover
318,100,7,480,5,-1,Not Cover
319,100,7,480,10,-1,Not Cover
320,100,7,480,15,-1,Not Cover
321,100,7,480,20,-1,Not Cover
322,100,7,480,25,-1,Not Cover
323,100,7,480,30,-1,Not Cover
324,100,7,540,5,-1,Not Cover
325,100,7,540,10,-1,Not Cover
326,100,7,540,15,-1,Not Cover
327,100,7,540,20,-1,Not Cover
328,100,7,540,25,-1,Not Cover
329,100,7,540,30,-1,Not Cover
330,100,7,600,5,-1,Not Cover
331,100,7,600,10,-1,Not Cover
332,100,7,600,15,-1,Not Cover
333,100,7,600,20,-1,Not Cover
334,100,7,600,25,-1,Not Cover
335,100,7,600,30,-1,Not Cover
336,100,8,180,5,-1,Not Cover
337,100,8,180,10,-1,Not Cover
338,100,8,180,15,-1,Not Cover
339,100,8,180,20,-1,Not Cover
340,100,8,180,25,-1,Not Cover
341,100,8,180,30,-1,Not Cover
342,100,8,240,5,-1,Not Cover
343,100,8,240,10,-1,Not Cover
344,100,8,240,15,-1,Not Cover
345,100,8,240,20,-1,Not Cover
346,100,8,240,25,-1,Not Cover
347,100,8,240,30,-1,Not Cover
348,100,8,300,5,-1,Not Cover
349,100,8,300,10,-1,Not Cover
350,100,8,300,15,-1,Not Cover
351,100,8,300,20,-1,Not Cover
352,100,8,300,25,-1,Not Cover
353,100,8,300,30,-1,Not Cover
354,100,8,360,5,-1,Not Cover
355,100,8,360,10,-1,Not Cover
356,100,8,360,15,-1,Not Cover
357,100,8,360,20,-1,Not Cover
358,100,8,360,25,-1,Not Cover
359,100,8,360,30,-1,Not Cover
360,100,8,420,5,-1,Not Cover
361,100,8,420,10,-1,Not Cover
362,100,8,420,15,-1,Not Cover
363,100,8,420,20,-1,Not Cover
364,100,8,420,25,-1,Not Cover
365,100,8,420,30,-1,Not Cover
366,100,8,480,5,-1,Not Cover
367,100,8,480,10,-1,Not Cover
368,100,8,480,15,-1,Not Cover
369,100,8,480,20,-1,Not Cover
370,100,8,480,25,-1,Not Cover
371,100,8,480,30,-1,Not Cover
372,100,8,540,5,-1,Not Cover
373,100,8,540,10,-1,Not Cover
374,100,8,540,15,-1,Not Cover
375,100,8,540,20,-1,Not Cover
376,100,8,540,25,-1,Not Cover
377,100,8,540,30,-1,Not Cover
378,100,8,600,5,-1,Not Cover
379,100,8,600,10,-1,Not Cover
380,100,8,600,15,-1,Not Cover
381,100,8,600,20,-1,Not Cover
382,100,8,600,25,-1,Not Cover
383,100,8,600,30,-1,Not Cover
384,100,9,180,5,-1,Not Cover
385,100,9,180,10,-1,Not Cover
386,100,9,180,15,-1,Not Cover
387,100,9,180,20,-1,Not Cover
388,100,9,180,25,-1,Not Cover
389,100,9,180,30,-1,Not Cover
390,100,9,240,5,-1,Not Cover
391,100,9,240,10,-1,Not Cover
392,100,9,240,15,-1,Not Cover
393,100,9,240,20,-1,Not Cover
394,100,9,240,25,-1,Not Cover
395,100,9,240,30,-1,Not Cover
396,100,9,300,5,-1,Not Cover
397,100,9,300,10,-1,Not Cover
398,100,9,300,15,-1,Not Cover
399,100,9,300,20,-1,Not Cover
400,100,9,300,25,-1,Not Cover
401,100,9,300,30,-1,Not Cover
402,100,9,360,5,-1,Not Cover
403,100,9,360,10,-1,Not Cover
404,100,9,360,15,-1,Not Cover
405,100,9,360,20,-1,Not Cover
406,100,9,360,25,-1,Not Cover
407,100,9,360,30,-1,Not Cover
408,100,9,420,5,-1,Not Cover
409,100,9,420,10,-1,Not Cover
410,100,9,420,15,-1,Not Cover
411,100,9,420,20,-1,Not Cover
412,100,9,420,25,-1,Not Cover
413,100,9,420,30,-1,Not Cover
414,100,9,480,5,-1,Not Cover
415,100,9,480,10,-1,Not Cover
416,100,9,480,15,-1,Not Cover
417,100,9,480,20,-1,Not Cover
418,100,9,480,25,-1,Not Cover
419,100,9,480,30,-1,Not Cover
420,100,9,540,5,-1,Not Cover
421,100,9,540,10,-1,Not Cover
422,100,9,540,15,-1,Not Cover
423,100,9,540,20,-1,Not Cover
424,100,9,540,25,-1,Not Cover
425,100,9,540,30,-1,Not Cover
426,100,9,600,5,-1,Not Cover
427,100,9,600,10,-1,Not Cover
428,100,9,600,15,-1,Not Cover
429,100,9,600,20,-1,Not Cover
430,100,9,600,25,-1,Not Cover
431,100,9,600,30,-1,Not Cover
432,100,10,180,5,-1,Not Cover
433,100,10,180,10,-1,Not Cover
434,100,10,180,15,-1,Not Cover
435,100,10,180,20,-1,Not Cover
436,100,10,180,25,-1,Not Cover
437,100,10,180,30,-1,Not Cover
438,100,10,240,5,-1,Not Cover
439,100,10,240,10,-1,Not Cover
440,100,10,240,15,-1,Not Cover
441,100,10,240,20,-1,Not Cover
442,100,10,240,25,-1,Not Cover
443,100,10,240,30,-1,Not Cover
444,100,10,300,5,-1,Not Cover
445,100,10,300,10,-1,Not Cover
446,100,10,300,15,-1,Not Cover
447,100,10,300,20,-1,Not Cover
448,100,10,300,25,-1,Not Cover
449,100,10,300,30,-1,Not Cover
450,100,10,360,5,-1,Not Cover
451,100,10,360,10,-1,Not Cover
452,100,10,360,15,-1,Not Cover
453,100,10,360,20,-1,Not Cover
454,100,10,360,25,-1,Not Cover
455,100,10,360,30,-1,Not Cover
456,100,10,420,5,-1,Not Cover
457,100,10,420,10,-1,Not Cover
458,100,10,420,15,-1,Not Cover
459,100,10,420,20,-1,Not Cover
460,100,10,420,25,-1,Not Cover
461,100,10,420,30,-1,Not Cover
462,100,10,480,5,-1,Not Cover
463,100,10,480,10,-1,Not Cover
464,100,10,480,15,-1,Not Cover
465,100,10,480,20,-1,Not Cover
466,100,10,480,25,-1,Not Cover
467,100,10,480,30,-1,Not Cover
468,100,10,540,5,-1,Not Cover
469,100,10,540,10,-1,Not Cover
470,100,10,540,15,-1,Not Cover
471,100,10,540,20,-1,Not Cover
472,100,10,540,25,-1,Not Cover
473,100,10,540,30,-1,Not Cover
474,100,10,600,5,-1,Not Cover
475,100,10,600,10,-1,Not Cover
476,100,10,600,15,-1,Not Cover
477,100,10,600,20,-1,Not Cover
478,100,10,600,25,-1,Not Cover
479,100,10,600,30,-1,Not Cover
480,100,15,180,5,-1,Not Cover
481,100,15,180,10,-1,Not Cover
482,100,15,180,15,-1,Not Cover
483,100,15,180,20,-1,Not Cover
484,100,15,180,25,-1,Not Cover
485,100,15,180,30,-1,Not Cover
486,100,15,240,5,-1,Not Cover
487,100,15,240,10,-1,Not Cover
488,100,15,240,15,-1,Not Cover
489,100,15,240,20,-1,Not Cover
490,100,15,240,25,-1,Not Cover
491,100,15,240,30,-1,Not Cover
492,100,15,300,5,-1,Not Cover
493,100,15,300,10,-1,Not Cover
494,100,15,300,15,-1,Not Cover
495,100,15,300,20,-1,Not Cover
496,100,15,300,25,-1,Not Cover
497,100,15,300,30,-1,Not Cover
498,100,15,360,5,-1,Not Cover
499,100,15,360,10,-1,Not Cover
500,100,15,360,15,-1,Not Cover
501,100,15,360,20,-1,Not Cover
502,100,15,360,25,-1,Not Cover
503,100,15,360,30,-1,Not Cover
504,100,15,420,5,-1,Not Cover
505,100,15,420,10,-1,Not Cover
506,100,15,420,15,-1,Not Cover
507,100,15,420,20,-1,Not Cover
508,100,15,420,25,-1,Not Cover
509,100,15,420,30,-1,Not Cover
510,100,15,480,5,-1,Not Cover
511,100,15,480,10,-1,Not Cover
512,100,15,480,15,-1,Not Cover
513,100,15,480,20,-1,Not Cover
514,100,15,480,25,-1,Not Cover
515,100,15,480,30,-1,Not Cover
516,100,15,540,5,-1,Not Cover
517,100,15,540,10,-1,Not Cover
518,100,15,540,15,-1,Not Cover
519,100,15,540,20,-1,Not Cover
520,100,15,540,25,-1,Not Cover
