,node_number,drone_number,capacity_of_drones,arc_weight,result,type
214,9,5,360,25,451.0,Optimal
215,9,5,360,30,541.0,Optimal
216,9,5,420,5,90.0,Optimal
217,9,5,420,10,188.0,Optimal
218,9,5,420,15,302.0,Optimal
219,9,5,420,20,361.0,Optimal
220,9,5,420,25,451.0,Optimal
221,9,5,420,30,603.0,Optimal
222,9,5,480,5,90.0,Optimal
223,9,5,480,10,180.0,Optimal
224,9,5,480,15,271.0,Optimal
225,9,5,480,20,361.0,Optimal
226,9,5,480,25,451.0,Optimal
227,9,5,480,30,566.0,Optimal
228,9,5,540,5,90.0,Optimal
229,9,5,540,10,180.0,Optimal
230,9,5,540,15,271.0,Optimal
231,9,5,540,20,361.0,Optimal
232,9,5,540,25,451.0,Optimal
233,9,5,540,30,541.0,Optimal
234,9,5,600,5,90.0,Optimal
235,9,5,600,10,180.0,Optimal
236,9,5,600,15,271.0,Optimal
237,9,5,600,20,361.0,Optimal
238,9,5,600,25,451.0,Optimal
239,9,5,600,30,541.0,Optimal
240,9,6,180,5,-1.0,Not Cover
241,9,6,180,10,-1.0,Not Cover
242,9,6,180,15,-1.0,Not Cover
243,9,6,180,20,-1.0,Not Cover
244,9,6,180,25,-1.0,Not Cover
245,9,6,180,30,-1.0,Not Cover
246,9,6,240,5,114.0,Optimal
247,9,6,240,10,220.0,Optimal
248,9,6,240,15,-1.0,Not Cover
249,9,6,240,20,-1.0,Not Cover
250,9,6,240,25,-1.0,Not Cover
251,9,6,240,30,-1.0,Not Cover
252,9,6,300,5,106.0,Optimal
253,9,6,300,10,228.0,Optimal
254,9,6,300,15,320.0,Optimal
255,9,6,300,20,443.0,Optimal
256,9,6,300,25,-1.0,Not Cover
257,9,6,300,30,-1.0,Not Cover
258,9,6,360,5,106.0,Optimal
259,9,6,360,10,212.0,Optimal
260,9,6,360,15,320.0,Optimal
261,9,6,360,20,443.0,Optimal
262,9,6,360,25,532.0,Optimal
263,9,6,360,30,700.0,Optimal
264,9,6,420,5,106.0,Optimal
265,9,6,420,10,212.0,Optimal
266,9,6,420,15,320.0,Optimal
267,9,6,420,20,426.0,Optimal
268,9,6,420,25,532.0,Optimal
269,9,6,420,30,638.0,Optimal
270,9,6,480,5,106.0,Optimal
271,9,6,480,10,212.0,Optimal
272,9,6,480,15,320.0,Optimal
273,9,6,480,20,426.0,Optimal
274,9,6,480,25,532.0,Optimal
275,9,6,480,30,638.0,Optimal
276,9,6,540,5,106.0,Optimal
277,9,6,540,10,212.0,Optimal
278,9,6,540,15,320.0,Optimal
279,9,6,540,20,426.0,Optimal
280,9,6,540,25,532.0,Optimal
281,9,6,540,30,638.0,Optimal
282,9,6,600,5,106.0,Optimal
283,9,6,600,10,212.0,Optimal
284,9,6,600,15,320.0,Optimal
285,9,6,600,20,426.0,Optimal
286,9,6,600,25,532.0,Optimal
287,9,6,600,30,638.0,Optimal
288,9,7,180,5,132.0,Optimal
289,9,7,180,10,-1.0,Not Cover
290,9,7,180,15,-1.0,Not Cover
291,9,7,180,20,-1.0,Not Cover
292,9,7,180,25,-1.0,Not Cover
293,9,7,180,30,-1.0,Not Cover
294,9,7,240,5,126.0,Optimal
295,9,7,240,10,260.0,Optimal
296,9,7,240,15,-1.0,Not Cover
297,9,7,240,20,-1.0,Not Cover
298,9,7,240,25,-1.0,Not Cover
299,9,7,240,30,-1.0,Not Cover
300,9,7,300,5,126.0,Optimal
301,9,7,300,10,252.0,Optimal
302,9,7,300,15,381.0,Optimal
303,9,7,300,20,508.0,Optimal
304,9,7,300,25,665.0,Optimal
305,9,7,300,30,-1.0,Not Cover
306,9,7,360,5,126.0,Optimal
307,9,7,360,10,252.0,Optimal
308,9,7,360,15,381.0,Optimal
309,9,7,360,20,508.0,Optimal
310,9,7,360,25,634.0,Optimal
311,9,7,360,30,760.0,Optimal
312,9,7,420,5,126.0,Optimal
313,9,7,420,10,252.0,Optimal
314,9,7,420,15,381.0,Optimal
315,9,7,420,20,508.0,Optimal
316,9,7,420,25,634.0,Optimal
317,9,7,420,30,760.0,Optimal
318,9,7,480,5,126.0,Optimal
319,9,7,480,10,252.0,Optimal
320,9,7,480,15,381.0,Optimal
321,9,7,480,20,508.0,Optimal
322,9,7,480,25,634.0,Optimal
323,9,7,480,30,760.0,Optimal
324,9,7,540,5,126.0,Optimal
325,9,7,540,10,252.0,Optimal
326,9,7,540,15,381.0,Optimal
327,9,7,540,20,508.0,Optimal
328,9,7,540,25,634.0,Optimal
329,9,7,540,30,760.0,Optimal
330,9,7,600,5,126.0,Optimal
331,9,7,600,10,252.0,Optimal
332,9,7,600,15,381.0,Optimal
333,9,7,600,20,508.0,Optimal
334,9,7,600,25,634.0,Optimal
335,9,7,600,30,760.0,Optimal
336,9,8,180,5,146.0,Optimal
337,9,8,180,10,292.0,Optimal
338,9,8,180,15,-1.0,Not Cover
339,9,8,180,20,-1.0,Not Cover
340,9,8,180,25,-1.0,Not Cover
341,9,8,180,30,-1.0,Not Cover
342,9,8,240,5,146.0,Optimal
343,9,8,240,10,292.0,Optimal
344,9,8,240,15,442.0,Optimal
345,9,8,240,20,590.0,Optimal
346,9,8,240,25,-1.0,Not Cover
347,9,8,240,30,-1.0,Not Cover
348,9,8,300,5,146.0,Optimal
349,9,8,300,10,292.0,Optimal
350,9,8,300,15,442.0,Optimal
351,9,8,300,20,590.0,Optimal
352,9,8,300,25,736.0,Optimal
353,9,8,300,30,882.0,Optimal
354,9,8,360,5,146.0,Optimal
355,9,8,360,10,292.0,Optimal
356,9,8,360,15,442.0,Optimal
357,9,8,360,20,590.0,Optimal
358,9,8,360,25,736.0,Optimal
359,9,8,360,30,882.0,Optimal
360,9,8,420,5,146.0,Optimal
361,9,8,420,10,292.0,Optimal
362,9,8,420,15,442.0,Optimal
363,9,8,420,20,590.0,Optimal
364,9,8,420,25,736.0,Optimal
365,9,8,420,30,882.0,Optimal
366,9,8,480,5,146.0,Optimal
367,9,8,480,10,292.0,Optimal
368,9,8,480,15,442.0,Optimal
369,9,8,480,20,590.0,Optimal
370,9,8,480,25,736.0,Optimal
371,9,8,480,30,882.0,Optimal
372,9,8,540,5,146.0,Optimal
373,9,8,540,10,292.0,Optimal
374,9,8,540,15,442.0,Optimal
375,9,8,540,20,590.0,Optimal
376,9,8,540,25,736.0,Optimal
377,9,8,540,30,882.0,Optimal
378,9,8,600,5,146.0,Optimal
379,9,8,600,10,292.0,Optimal
380,9,8,600,15,442.0,Optimal
381,9,8,600,20,590.0,Optimal
382,9,8,600,25,736.0,Optimal
383,9,8,600,30,882.0,Optimal
384,9,9,180,5,-1.0,Infeasible
385,9,9,180,10,-1.0,Infeasible
386,9,9,180,15,-1.0,Not Cover
387,9,9,180,20,-1.0,Not Cover
388,9,9,180,25,-1.0,Not Cover
389,9,9,180,30,-1.0,Not Cover
390,9,9,240,5,-1.0,Infeasible
391,9,9,240,10,-1.0,Infeasible
392,9,9,240,15,-1.0,Infeasible
393,9,9,240,20,-1.0,Infeasible
394,9,9,240,25,-1.0,Not Cover
395,9,9,240,30,-1.0,Not Cover
396,9,9,300,5,-1.0,Infeasible
397,9,9,300,10,-1.0,Infeasible
398,9,9,300,15,-1.0,Infeasible
399,9,9,300,20,-1.0,Infeasible
400,9,9,300,25,-1.0,Infeasible
401,9,9,300,30,-1.0,Infeasible
402,9,9,360,5,-1.0,Infeasible
403,9,9,360,10,-1.0,Infeasible
404,9,9,360,15,-1.0,Infeasible
405,9,9,360,20,-1.0,Infeasible
406,9,9,360,25,-1.0,Infeasible
407,9,9,360,30,-1.0,Infeasible
408,9,9,420,5,-1.0,Infeasible
409,9,9,420,10,-1.0,Infeasible
410,9,9,420,15,-1.0,Infeasible
411,9,9,420,20,-1.0,Infeasible
412,9,9,420,25,-1.0,Infeasible
413,9,9,420,30,-1.0,Infeasible
414,9,9,480,5,-1.0,Infeasible
415,9,9,480,10,-1.0,Infeasible
416,9,9,480,15,-1.0,Infeasible
417,9,9,480,20,-1.0,Infeasible
418,9,9,480,25,-1.0,Infeasible
419,9,9,480,30,-1.0,Infeasible
420,9,9,540,5,-1.0,Infeasible
421,9,9,540,10,-1.0,Infeasible
422,9,9,540,15,-1.0,Infeasible
423,9,9,540,20,-1.0,Infeasible
424,9,9,540,25,-1.0,Infeasible
425,9,9,540,30,-1.0,Infeasible
426,9,9,600,5,-1.0,Infeasible
427,9,9,600,10,-1.0,Infeasible
428,9,9,600,15,-1.0,Infeasible
429,9,9,600,20,-1.0,Infeasible
430,9,9,600,25,-1.0,Infeasible
431,9,9,600,30,-1.0,Infeasible
432,9,10,180,5,-1.0,Infeasible
433,9,10,180,10,-1.0,Infeasible
434,9,10,180,15,-1.0,Not Cover
435,9,10,180,20,-1.0,Not Cover
436,9,10,180,25,-1.0,Not Cover
437,9,10,180,30,-1.0,Not Cover
438,9,10,240,5,-1.0,Infeasible
439,9,10,240,10,-1.0,Infeasible
440,9,10,240,15,-1.0,Infeasible
441,9,10,240,20,-1.0,Infeasible
442,9,10,240,25,-1.0,Infeasible
443,9,10,240,30,-1.0,Not Cover
444,9,10,300,5,-1.0,Infeasible
445,9,10,300,10,-1.0,Infeasible
446,9,10,300,15,-1.0,Infeasible
447,9,10,300,20,-1.0,Infeasible
448,9,10,300,25,-1.0,Infeasible
449,9,10,300,30,-1.0,Infeasible
450,9,10,360,5,-1.0,Infeasible
451,9,10,360,10,-1.0,Infeasible
452,9,10,360,15,-1.0,Infeasible
453,9,10,360,20,-1.0,Infeasible
454,9,10,360,25,-1.0,Infeasible
455,9,10,360,30,-1.0,Infeasible
456,9,10,420,5,-1.0,Infeasible
457,9,10,420,10,-1.0,Infeasible
458,9,10,420,15,-1.0,Infeasible
459,9,10,420,20,-1.0,Infeasible
460,9,10,420,25,-1.0,Infeasible
461,9,10,420,30,-1.0,Infeasible
462,9,10,480,5,-1.0,Infeasible
463,9,10,480,10,-1.0,Infeasible
464,9,10,480,15,-1.0,Infeasible
465,9,10,480,20,-1.0,Infeasible
466,9,10,480,25,-1.0,Infeasible
467,9,10,480,30,-1.0,Infeasible
468,9,10,540,5,-1.0,Infeasible
469,9,10,540,10,-1.0,Infeasible
470,9,10,540,15,-1.0,Infeasible
471,9,10,540,20,-1.0,Infeasible
472,9,10,540,25,-1.0,Infeasible
473,9,10,540,30,-1.0,Infeasible
474,9,10,600,5,-1.0,Infeasible
475,9,10,600,10,-1.0,Infeasible
476,9,10,600,15,-1.0,Infeasible
477,9,10,600,20,-1.0,Infeasible
478,9,10,600,25,-1.0,Infeasible
479,9,10,600,30,-1.0,Infeasible
480,9,15,180,5,-1.0,Infeasible
481,9,15,180,10,-1.0,Infeasible
482,9,15,180,15,-1.0,Infeasible
483,9,15,180,20,-1.0,Not Cover
484,9,15,180,25,-1.0,Not Cover
485,9,15,180,30,-1.0,Not Cover
486,9,15,240,5,-1.0,Infeasible
487,9,15,240,10,-1.0,Infeasible
488,9,15,240,15,-1.0,Infeasible
489,9,15,240,20,-1.0,Infeasible
490,9,15,240,25,-1.0,Infeasible
